,Agent Name,KD,Kills,Deaths,Assists
0,Jett,1.11,13.9,12.6,3.4
1,Sage,0.90,10.9,12.1,3.6
2,Reyna,1.15,14.3,12.5,3.5
3,Raze,1.00,12.8,12.7,4.1
4,Sova,0.94,11.4,12.2,4.4
5,Phoenix,0.98,12.2,12.5,3.3
6,Omen,0.98,12.2,12.5,3.8
7,Killjoy,0.96,11.4,11.9,3.6
8,Viper,0.93,11.5,12.3,4.0
9,Yoru,0.95,12.2,12.8,3.0
10,Cypher,0.97,11.7,12.1,3.7
11,Skye,0.93,11.5,12.4,3.4
12,Brimstone,0.92,11.6,12.6,4.7
13,Breach,0.95,12.2,12.8,4.2
14,Astra,1.02,12.7,12.5,3.7
