,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,9.3,9.0,9.8,1.5
1,Reyna,7.8,4.6,13.3,1.7
2,Raze,10.4,13.5,12.5,2.2
3,Jett,8.3,10.2,13.2,2.4
4,Killjoy,10.2,7.9,18.0,2.4
5,Omen,6.1,23.5,6.9,2.2
6,Sova,10.4,22.1,4.4,1.7
7,Viper,10.6,16.3,12.0,2.0
8,Phoenix,10.5,7.3,3.5,3.0
9,Yoru,10.8,15.7,5.8,3.0
10,Cypher,15.1,14.1,22.5,2.4
11,Brimstone,9.2,28.4,10.3,2.4
12,Skye,10.2,18.4,3.7,3.3
13,Breach,14.8,12.5,6.4,1.9
14,Astra,2.4,17.4,6.9,1.9
