,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,8.8,5.0,13.9,1.8
1,Sage,12.0,9.7,12.0,1.8
2,Jett,7.4,11.8,13.9,2.6
3,Omen,7.1,30.2,5.5,2.1
4,Raze,13.2,15.5,12.1,2.4
5,Sova,15.4,25.2,7.4,2.1
6,Killjoy,11.9,8.6,21.6,2.5
7,Viper,10.2,16.9,12.1,2.1
8,Phoenix,13.4,9.4,4.1,3.7
9,Brimstone,8.2,33.6,9.0,2.5
10,Cypher,22.9,14.7,25.1,2.3
11,Skye,8.4,24.4,3.3,3.6
12,Breach,17.4,14.6,6.1,2.5
13,Yoru,15.3,18.8,9.1,3.4
14,Astra,3.7,23.9,9.9,1.9
