,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,10.2,9.5,11.0,1.6
1,Reyna,8.2,5.1,13.8,1.6
2,Jett,7.4,11.0,13.0,2.3
3,Omen,6.8,27.3,5.7,2.1
4,Killjoy,11.0,7.8,20.1,2.3
5,Sova,13.4,23.8,6.3,2.0
6,Raze,11.3,14.2,11.3,2.3
7,Viper,9.2,15.6,10.0,1.9
8,Phoenix,12.0,7.7,3.8,3.2
9,Brimstone,8.2,31.6,7.4,2.3
10,Cypher,19.4,14.5,24.6,2.3
11,Skye,8.5,21.1,3.2,3.4
12,Yoru,14.6,18.1,8.3,3.2
13,Breach,14.2,13.2,6.3,2.4
14,Astra,3.4,25.7,7.4,1.9
