,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,8.7,5.2,13.8,1.8
1,Jett,7.0,12.3,14.2,2.7
2,Sage,13.5,9.9,12.5,2.0
3,Omen,7.5,31.1,4.8,2.0
4,Raze,14.3,16.2,11.8,2.5
5,Sova,15.9,24.6,7.9,2.0
6,Killjoy,11.4,7.9,21.8,2.5
7,Viper,10.9,17.3,12.1,2.0
8,Phoenix,14.9,10.0,3.6,3.7
9,Cypher,23.1,15.2,26.1,2.4
10,Brimstone,8.7,34.4,9.0,2.5
11,Skye,8.3,24.0,2.8,3.7
12,Breach,18.7,15.5,6.4,2.6
13,Yoru,16.1,20.3,9.4,3.6
14,Astra,2.8,28.3,8.8,1.8
