,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,7.1,15.2,14.5,3.1
1,Reyna,9.3,4.2,10.5,1.5
2,Sage,13.9,8.8,12.1,2.0
3,Viper,12.5,18.8,17.0,3.2
4,Cypher,21.8,13.3,26.0,2.0
5,Raze,18.0,17.5,11.0,2.3
6,Killjoy,11.7,9.3,18.7,2.7
7,Sova,13.7,17.0,5.3,1.3
8,Omen,10.5,30.0,3.0,2.5
9,Skye,13.5,34.0,2.0,4.5
10,Astra,8.0,31.5,14.0,1.0
11,Phoenix,13.5,15.0,4.5,3.5
12,Brimstone,10.0,30.0,8.0,3.0
