,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,8.6,4.8,13.6,1.7
1,Jett,7.1,12.1,14.0,2.6
2,Sage,13.5,9.9,12.2,1.9
3,Omen,8.1,31.8,5.3,2.0
4,Raze,15.7,16.7,11.7,2.5
5,Sova,16.7,25.9,8.8,2.1
6,Killjoy,11.0,7.8,20.2,2.5
7,Cypher,25.1,15.2,26.7,2.5
8,Brimstone,8.7,35.7,8.9,2.5
9,Phoenix,12.8,8.6,3.7,3.5
10,Viper,10.8,17.3,12.2,2.0
11,Skye,8.4,25.8,3.2,3.6
12,Yoru,16.4,20.2,9.7,3.5
13,Breach,16.5,15.6,6.1,2.3
14,Astra,3.7,28.4,10.7,2.1
