,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,7.8,12.6,14.1,2.7
1,Reyna,8.6,5.0,13.8,1.7
2,Sage,14.1,9.6,12.2,2.0
3,Omen,7.8,32.1,4.8,2.0
4,Sova,17.5,25.0,8.9,2.1
5,Raze,15.8,16.2,11.6,2.5
6,Killjoy,12.2,8.3,22.6,2.6
7,Viper,10.9,17.5,13.3,2.2
8,Cypher,20.5,14.6,24.5,2.4
9,Phoenix,14.3,10.1,3.7,3.6
10,Skye,7.5,20.9,2.7,3.7
11,Brimstone,8.1,35.7,9.1,2.7
12,Breach,17.9,14.9,6.0,2.7
13,Yoru,17.8,21.9,10.0,3.7
14,Astra,5.0,33.1,12.3,2.3
