,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,8.4,4.9,13.5,1.7
1,Jett,7.1,12.8,14.7,2.7
2,Sage,14.3,9.6,12.8,2.0
3,Omen,8.7,32.3,4.5,2.1
4,Sova,15.3,24.2,8.5,2.0
5,Raze,13.8,17.1,11.7,2.5
6,Killjoy,11.4,7.2,21.2,2.6
7,Viper,10.5,16.9,12.4,2.1
8,Cypher,24.4,16.1,26.8,2.4
9,Phoenix,13.0,9.4,3.4,3.4
10,Brimstone,8.3,35.4,9.0,2.6
11,Skye,8.0,22.6,2.4,3.4
12,Breach,18.9,15.6,6.8,2.6
13,Astra,2.8,29.9,9.8,2.2
14,Yoru,16.2,20.0,12.1,3.3
