,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,7.5,12.9,15.2,2.7
1,Reyna,8.2,4.8,14.7,1.6
2,Sage,14.4,9.9,12.6,2.1
3,Omen,8.9,33.7,4.9,1.8
4,Sova,15.7,24.0,9.2,2.0
5,Raze,16.9,18.7,13.2,2.8
6,Cypher,23.2,17.0,30.2,2.5
7,Killjoy,13.1,7.7,24.3,2.6
8,Phoenix,13.5,9.5,3.1,4.0
9,Viper,10.7,16.1,11.9,2.0
10,Skye,7.9,23.7,2.7,3.4
11,Brimstone,7.9,39.2,7.6,2.5
12,Breach,18.8,18.5,7.2,2.5
13,Astra,1.8,32.3,8.3,1.7
14,Yoru,11.8,14.0,9.3,2.5
