,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,16.4,23.0,11.0,6.3
1,Reyna,7.6,6.0,11.0,2.3
2,Sage,9.3,7.1,9.3,1.3
3,Raze,18.1,12.7,9.2,3.5
4,Phoenix,12.0,9.1,3.7,3.1
5,Sova,15.9,22.2,5.7,3.9
6,Omen,5.8,18.8,4.1,2.2
7,Yoru,12.7,13.4,7.0,2.4
8,Killjoy,10.0,7.8,18.1,3.5
9,Viper,6.0,9.5,8.1,1.1
10,Cypher,13.7,10.9,16.6,1.8
11,Skye,10.9,24.4,2.5,6.9
12,Breach,15.6,12.1,8.3,3.7
13,Brimstone,8.5,28.4,6.6,3.4
14,Astra,3.0,15.0,7.0,1.3
