,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,8.2,13.5,14.4,2.8
1,Reyna,8.7,5.4,14.0,1.8
2,Sage,14.4,9.5,12.4,1.9
3,Sova,19.6,26.1,10.3,2.2
4,Omen,9.3,33.6,4.7,2.1
5,Raze,14.9,16.8,13.4,2.4
6,Viper,10.4,17.5,12.7,2.3
7,Cypher,23.5,15.7,26.6,2.2
8,Killjoy,12.9,7.7,22.9,2.7
9,Skye,9.7,28.3,2.4,3.6
10,Brimstone,8.6,35.9,8.3,2.9
11,Phoenix,16.5,10.1,3.3,3.6
12,Astra,3.9,31.9,12.7,1.9
13,Yoru,16.7,23.6,13.7,3.5
14,Breach,21.9,20.1,8.3,3.1
