,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Jett,7.9,13.6,15.2,2.7
1,Reyna,8.3,4.7,14.2,1.7
2,Sage,14.2,9.6,12.7,2.0
3,Omen,8.2,33.3,5.0,1.9
4,Sova,16.8,24.6,9.6,2.2
5,Raze,14.9,17.0,12.0,2.5
6,Killjoy,11.7,9.0,22.0,2.6
7,Viper,8.4,17.1,11.7,2.2
8,Cypher,20.6,14.3,25.7,2.3
9,Skye,9.4,25.6,2.7,3.6
10,Brimstone,8.7,39.0,11.8,3.0
11,Yoru,16.6,20.9,9.4,3.4
12,Phoenix,15.7,10.2,4.3,3.9
13,Breach,19.5,17.8,6.4,2.2
14,Astra,2.4,33.6,10.9,1.7
