,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,8.6,4.6,13.1,1.7
1,Jett,7.3,12.6,16.7,2.7
2,Sage,12.9,9.6,12.2,2.0
3,Omen,7.5,28.9,5.2,1.9
4,Raze,15.5,15.8,12.2,2.7
5,Sova,16.6,25.3,8.3,2.1
6,Killjoy,11.4,8.1,22.9,2.6
7,Viper,10.2,17.1,11.1,1.9
8,Brimstone,8.6,37.0,10.7,2.6
9,Phoenix,14.4,9.2,4.3,3.7
10,Cypher,23.8,14.7,25.5,2.4
11,Skye,10.1,21.7,3.0,3.9
12,Breach,20.1,16.0,8.0,2.9
13,Yoru,15.8,20.7,11.6,3.9
14,Astra,3.8,26.3,10.8,3.0
