,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.17,17.6,15.1,4.1,49.7%,16%,252,16%,"9,333"
1,Jett,1.17,17.4,14.9,3.7,58.9%,15.7%,247,19.8%,"9,180"
2,Sage,1.05,15.4,14.7,4.8,56.9%,13.3%,207,11.7%,"7,803"
3,Sova,0.97,13.9,14.3,6.0,47.9%,8.4%,205,9.6%,"4,896"
4,Raze,1.02,15.4,15.2,4.6,49.4%,7.6%,236,17.7%,"4,437"
5,Omen,0.93,14.3,15.4,5.7,50.6%,7.6%,194,10.1%,"4,437"
6,Killjoy,1.01,14.7,14.6,4.4,52.1%,6.4%,203,9.1%,"3,723"
7,Cypher,0.90,14.2,15.7,4.5,42.4%,5.1%,182,8.9%,"3,009"
8,Viper,0.96,13.8,14.3,5.3,36.8%,5%,200,12.1%,"2,907"
9,Phoenix,1.05,16.9,16.1,4.8,52.3%,3.8%,245,17.2%,"2,244"
10,Skye,1.05,14.6,13.8,4.2,62.2%,3.2%,201,11.9%,"1,887"
11,Brimstone,0.84,13.0,15.5,7.6,44.4%,3.1%,188,10.5%,"1,836"
12,Breach,0.84,12.5,14.9,6.8,48%,2.2%,190,17.6%,"1,275"
13,Astra,1.03,14.4,13.9,5.2,64.7%,1.5%,188,12.7%,867
14,Yoru,0.90,15.4,17.0,4.2,30.8%,1.1%,213,16%,663
