,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,0.93,15.0,16.1,4.1,46.2%,20.6%,219,22.1%,663
1,Reyna,1.38,18.0,13.0,3.7,45.5%,17.5%,292,16.2%,561
2,Sage,0.96,12.0,12.5,5.6,80%,15.9%,188,10%,510
3,Viper,1.80,21.0,11.7,4.7,83.3%,9.5%,259,9.5%,306
4,Cypher,1.12,14.3,12.8,4.0,75%,6.3%,211,10.5%,204
5,Raze,1.30,18.3,14.0,4.5,75%,6.3%,281,15.1%,204
6,Killjoy,1.18,13.3,11.3,1.3,66.7%,4.8%,192,5%,153
7,Sova,0.66,10.3,15.7,5.3,33.3%,4.8%,185,19.4%,153
8,Omen,0.79,11.5,14.5,4.5,0%,3.2%,171,8.7%,102
9,Skye,1.11,15.5,14.0,2.5,100%,3.2%,193,9.7%,102
10,Astra,0.97,15.0,15.5,4.0,0%,3.2%,204,0%,102
11,Phoenix,0.97,16.0,16.5,3.5,50%,3.2%,214,25%,102
12,Brimstone,0.92,11.0,12.0,6.0,100%,1.6%,194,9.1%,51
