,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.94,13.3,14.2,4.6,52.4%,16.9%,187,11%,"6,426"
1,Reyna,1.13,16.2,14.3,4.3,52.3%,14.9%,246,16.6%,"5,661"
2,Jett,1.02,16.7,16.4,4.4,58.6%,11.6%,235,19.6%,"4,437"
3,Killjoy,0.99,14.1,14.2,4.5,61.4%,9.4%,204,12.6%,"3,570"
4,Sova,1.00,14.3,14.4,6.4,50.8%,8.4%,220,12.7%,"3,213"
5,Raze,1.06,16.2,15.3,5.7,62.1%,7.8%,238,16.3%,"2,958"
6,Omen,0.98,15.5,15.8,5.3,49.1%,7.6%,214,11.5%,"2,907"
7,Phoenix,1.15,17.4,15.1,4.6,62.8%,5.8%,238,15.6%,"2,193"
8,Brimstone,1.08,15.1,14.0,7.1,66.7%,3.6%,214,13.5%,"1,377"
9,Viper,0.83,12.8,15.5,6.2,33.3%,3.6%,184,12.4%,"1,377"
10,Skye,1.02,14.8,14.4,4.1,64%,3.3%,209,14.6%,"1,275"
11,Cypher,0.90,14.1,15.7,4.2,28.6%,2.8%,194,9.5%,"1,071"
12,Breach,1.07,15.2,14.2,5.1,57.1%,1.9%,219,12.2%,714
13,Yoru,1.57,20.7,13.2,4.8,50%,1.3%,319,14.5%,510
14,Astra,0.87,13.0,15.0,6.5,62.5%,1.1%,175,14.4%,408
