,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.33,20.6,15.4,4.1,78.3%,24.7%,277,18.8%,"1,173"
1,Reyna,1.17,18.1,15.6,4.4,64.3%,15.1%,254,15.4%,714
2,Omen,1.04,16.0,15.5,5.9,54.5%,11.8%,213,11.9%,561
3,Sage,0.86,13.8,16.0,4.2,55.6%,9.7%,180,16.9%,459
4,Sova,1.10,13.0,11.8,5.8,66.7%,6.5%,210,5.1%,306
5,Raze,0.85,15.5,18.3,5.5,33.3%,6.5%,206,17.2%,306
6,Cypher,1.01,14.8,14.6,3.0,60%,5.4%,198,9.5%,255
7,Killjoy,1.06,17.6,16.6,2.8,80%,5.4%,209,6.8%,255
8,Skye,1.09,15.0,13.8,2.8,50%,4.3%,213,11.7%,204
9,Astra,1.03,17.0,16.5,4.5,50%,2.2%,211,14.7%,102
10,Viper,1.50,21.0,14.0,6.0,100%,2.2%,268,7.1%,102
11,Yoru,0.94,16.0,17.0,2.5,50%,2.2%,210,0%,102
12,Phoenix,0.94,16.0,17.0,5.0,0%,2.2%,190,9.4%,102
13,Breach,0.77,10.0,13.0,1.0,0%,1.1%,146,10%,51
14,Brimstone,0.84,16.0,19.0,10.0,100%,1.1%,197,12.5%,51
