,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.13,17.4,15.4,3.9,51.4%,17.7%,241,20%,"1,785"
1,Reyna,1.27,19.3,15.2,3.8,52%,12.6%,269,16%,"1,275"
2,Sage,0.99,15.2,15.4,5.1,43.5%,11.6%,203,10.6%,"1,173"
3,Sova,1.00,13.7,13.7,6.2,45%,10.1%,201,8.8%,"1,020"
4,Omen,1.01,15.9,15.7,6.2,38.9%,9.1%,206,7.7%,918
5,Killjoy,1.03,14.4,13.9,4.3,58.8%,8.6%,205,8.2%,867
6,Phoenix,1.05,15.5,14.8,3.9,41.7%,6.1%,232,18.8%,612
7,Cypher,0.95,14.2,14.9,4.3,45.5%,5.6%,178,9.6%,561
8,Raze,1.19,16.9,14.2,4.3,60%,5.1%,257,20.1%,510
9,Brimstone,0.92,11.7,12.7,6.6,66.7%,4.5%,185,10.5%,459
10,Astra,0.81,12.5,15.5,6.0,50%,3%,159,17.3%,306
11,Breach,0.90,14.2,15.8,6.2,40%,2.5%,217,14.1%,255
12,Viper,0.93,14.0,15.0,6.0,0%,1.5%,169,9.5%,153
13,Skye,0.62,9.0,14.5,4.0,50%,1%,134,11.1%,102
14,Yoru,0.97,17.0,17.5,4.5,0%,1%,218,14.7%,102
