,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.92,13.2,14.4,4.8,46.9%,14.7%,190,12.4%,"9,894"
1,Reyna,1.14,17.5,15.4,4.0,50.5%,14.2%,249,15.5%,"9,588"
2,Jett,1.06,16.5,15.5,3.9,51.1%,13.6%,235,18.2%,"9,180"
3,Killjoy,1.04,14.2,13.6,4.2,43.5%,8.7%,212,9.4%,"5,865"
4,Sova,0.97,13.7,14.2,5.8,50.5%,8.4%,201,11.8%,"5,661"
5,Omen,1.00,15.1,15.1,5.4,56%,8.2%,210,12.9%,"5,559"
6,Raze,0.97,15.2,15.7,5.3,43.9%,7.4%,232,18%,"4,998"
7,Brimstone,0.94,13.9,14.8,7.2,55.4%,4.9%,197,10.6%,"3,315"
8,Phoenix,1.14,16.8,14.8,4.8,62.3%,4.6%,246,16.7%,"3,111"
9,Cypher,0.92,13.4,14.6,4.1,47.2%,4%,194,12.8%,"2,703"
10,Viper,1.04,14.5,14.0,5.3,50%,3.8%,205,12.4%,"2,550"
11,Breach,0.94,15.1,16.1,5.4,46.9%,2.4%,210,14.7%,"1,632"
12,Skye,0.93,13.8,14.8,3.9,48.1%,2%,194,12.9%,"1,377"
13,Yoru,1.01,15.1,15.0,3.7,65.4%,2%,210,15.5%,"1,326"
14,Astra,1.08,15.7,14.5,6.4,61.5%,1%,197,14.2%,663
