,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.18,19.4,16.4,4.3,52.2%,17.3%,260,21.1%,"1,173"
1,Reyna,1.09,16.1,14.8,4.0,47.6%,15.8%,231,15.6%,"1,071"
2,Sova,0.98,14.8,15.1,6.3,50%,12%,202,6.8%,816
3,Sage,1.13,15.9,14.1,4.7,46.7%,11.3%,217,8.4%,765
4,Omen,0.94,14.5,15.5,8.5,53.8%,9.8%,191,12.2%,663
5,Killjoy,0.93,14.5,15.6,5.4,60%,7.5%,204,8.3%,510
6,Raze,0.75,12.4,16.6,5.0,33.3%,6.8%,190,15.2%,459
7,Cypher,0.87,12.5,14.3,3.7,33.3%,4.5%,195,9.3%,306
8,Brimstone,1.00,15.4,15.4,9.2,60%,3.8%,209,19.5%,255
9,Astra,1.09,14.5,13.3,4.8,50%,3%,209,10.3%,204
10,Viper,1.02,15.5,15.3,4.3,50%,3%,233,21%,204
11,Phoenix,1.31,18.3,14.0,5.0,66.7%,2.3%,250,14.5%,153
12,Yoru,1.05,20.0,19.0,4.5,0%,1.5%,268,17.5%,102
13,Skye,0.50,9.0,18.0,8.0,0%,0.8%,132,11.1%,51
14,Breach,0.87,13.0,15.0,3.0,0%,0.8%,180,7.7%,51
