,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sova,1.06,15.4,14.5,7.8,63%,17.9%,212,9%,"2,346"
1,Jett,1.12,18.4,16.4,3.3,47.5%,15.6%,247,22.4%,"2,040"
2,Omen,1.06,15.1,14.2,7.5,60.6%,12.8%,202,11.2%,"1,683"
3,Reyna,1.09,17.3,15.8,3.5,56.3%,12.5%,229,19.1%,"1,632"
4,Sage,0.87,11.5,13.2,4.2,58.3%,9.3%,164,8.3%,"1,224"
5,Killjoy,0.98,14.2,14.5,3.6,41.7%,9.3%,197,10.6%,"1,224"
6,Cypher,1.14,14.8,12.9,3.8,41.7%,4.7%,208,7.3%,612
7,Raze,1.11,17.1,15.4,5.2,70%,3.9%,226,11.7%,510
8,Phoenix,1.04,17.9,17.1,5.3,62.5%,3.1%,226,17.5%,408
9,Skye,0.80,12.9,16.1,3.6,37.5%,3.1%,183,11.7%,408
10,Astra,0.72,10.5,14.5,7.2,33.3%,2.3%,160,25.4%,306
11,Brimstone,0.87,13.8,15.8,8.3,33.3%,2.3%,173,8.4%,306
12,Viper,0.75,13.3,17.7,7.0,33.3%,1.2%,182,15%,153
13,Breach,1.00,13.7,13.7,5.7,33.3%,1.2%,183,9.8%,153
14,Yoru,0.74,13.0,17.5,3.5,0%,0.8%,184,19.2%,102
