,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.73,10.5,14.5,3.4,50%,19.2%,146,10.3%,"1,224"
1,Raze,1.09,15.2,13.9,5.0,38.9%,14.4%,244,11.7%,918
2,Reyna,1.25,18.6,14.8,4.3,41.7%,9.6%,274,14.3%,612
3,Jett,0.85,13.1,15.5,5.1,54.5%,8.8%,185,15.3%,561
4,Killjoy,0.84,12.9,15.3,4.8,40%,8%,182,9.3%,510
5,Viper,0.55,8.0,14.6,3.7,66.7%,7.2%,125,19.4%,459
6,Sova,0.80,12.2,15.3,5.6,33.3%,7.2%,194,16.4%,459
7,Phoenix,0.95,12.0,12.6,4.4,62.5%,6.4%,197,13.5%,408
8,Omen,0.56,8.6,15.3,3.1,57.1%,5.6%,151,13.3%,357
9,Skye,0.51,6.8,13.3,2.0,50%,4.8%,98,7.3%,306
10,Brimstone,0.61,8.5,14.0,3.0,50%,3.2%,153,11.8%,204
11,Cypher,0.97,14.0,14.5,3.0,0%,1.6%,211,14.3%,102
12,Yoru,0.82,15.5,19.0,3.0,50%,1.6%,184,12.9%,102
13,Breach,0.83,12.5,15.0,5.5,50%,1.6%,147,4%,102
14,Astra,1.13,17.0,15.0,6.0,0%,0.8%,252,11.8%,51
