,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.13,16.7,14.8,3.8,42.4%,19.5%,251,17.4%,"3,009"
1,Jett,1.09,17.6,16.1,3.8,45.2%,13.9%,239,18%,"2,142"
2,Omen,1.06,16.6,15.6,6.2,48.3%,9.6%,225,10.6%,"1,479"
3,Sova,0.93,12.2,13.1,5.3,42.9%,9.3%,188,9.4%,"1,428"
4,Sage,0.99,13.7,13.8,4.6,44.4%,8.9%,195,8.9%,"1,377"
5,Killjoy,0.97,15.6,16.1,4.8,50%,8.6%,208,9.6%,"1,326"
6,Brimstone,0.94,14.0,14.9,9.1,47.1%,5.6%,205,11.3%,867
7,Cypher,0.96,12.7,13.2,2.9,73.3%,5%,176,11.5%,765
8,Raze,1.21,18.0,14.9,4.5,53.3%,5%,258,14.1%,765
9,Phoenix,0.96,13.5,14.0,2.7,42.9%,4.6%,217,20.1%,714
10,Viper,1.01,12.4,12.3,4.8,77.8%,3%,174,8%,459
11,Skye,0.96,15.7,16.4,4.0,42.9%,2.3%,217,14.5%,357
12,Breach,0.94,16.4,17.4,7.4,20%,1.7%,208,6.1%,255
13,Yoru,0.91,14.8,16.2,5.6,60%,1.7%,215,16.2%,255
14,Astra,1.07,15.0,14.0,6.3,50%,1.3%,199,6.7%,204
