,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.90,12.9,14.3,5.0,50.9%,16.5%,185,10.7%,"5,916"
1,Reyna,1.10,16.8,15.3,4.3,52.1%,13.6%,247,17%,"4,896"
2,Killjoy,0.98,13.2,13.5,4.5,51.9%,10.9%,201,10.7%,"3,927"
3,Jett,1.04,15.2,14.6,3.7,50%,9.7%,225,15.1%,"3,468"
4,Omen,0.88,13.4,15.3,5.0,46.8%,8.8%,193,14.1%,"3,162"
5,Raze,1.03,15.8,15.3,5.6,45.5%,7.8%,243,14.3%,"2,805"
6,Sova,1.00,14.4,14.4,5.3,48.1%,7.4%,202,9.1%,"2,652"
7,Phoenix,1.01,14.1,14.0,3.4,51.4%,5.3%,221,19.6%,"1,887"
8,Brimstone,1.02,15.2,14.9,7.1,50%,4.5%,216,12.9%,"1,632"
9,Skye,1.02,14.8,14.5,4.4,63%,3.8%,209,12.8%,"1,377"
10,Viper,0.90,13.6,15.0,5.8,50%,3.4%,197,13.2%,"1,224"
11,Cypher,1.00,13.8,13.8,3.5,58.8%,2.4%,190,12.8%,867
12,Yoru,1.00,15.6,15.7,4.3,43.8%,2.3%,222,18%,816
13,Breach,0.85,11.3,13.3,4.3,60%,2.1%,172,13.5%,765
14,Astra,0.99,14.9,15.1,4.9,40%,1.4%,211,8.7%,510
