,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Reyna,1.28,18.9,14.7,3.9,60.3%,15%,264,16.4%,"3,978"
1,Jett,1.13,17.6,15.5,4.0,50%,14.3%,254,17.9%,"3,774"
2,Sage,0.98,14.5,14.8,4.4,46.8%,11.9%,197,9.5%,"3,162"
3,Sova,1.02,14.2,13.9,6.3,47.3%,10.6%,206,9.3%,"2,805"
4,Omen,0.98,14.9,15.2,5.7,53.8%,10%,204,13.1%,"2,652"
5,Killjoy,0.98,13.2,13.5,3.4,50%,7.3%,206,9.5%,"1,938"
6,Brimstone,0.90,13.7,15.2,7.5,38.7%,6%,205,13.9%,"1,581"
7,Raze,1.02,14.8,14.5,5.5,53.6%,5.4%,235,17.1%,"1,428"
8,Phoenix,0.97,15.7,16.3,5.0,34.8%,4.4%,228,19.7%,"1,173"
9,Viper,1.24,16.3,13.2,6.2,70%,3.9%,219,10.5%,"1,020"
10,Cypher,0.80,12.3,15.3,5.0,38.9%,3.5%,176,7.2%,918
11,Skye,0.95,13.4,14.1,4.1,66.7%,3.5%,198,12%,918
12,Yoru,0.99,16.9,17.0,3.8,50%,1.9%,222,19.5%,510
13,Breach,0.74,11.3,15.3,5.4,28.6%,1.3%,185,17.7%,357
14,Astra,0.80,13.2,16.4,4.6,40%,1%,183,10.6%,255
