,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Jett,1.15,17.1,14.9,3.4,47.9%,14.5%,250,18.4%,"2,448"
1,Reyna,1.03,17.2,16.7,4.5,34.8%,13.9%,243,17.6%,"2,346"
2,Sage,1.00,15.0,14.9,4.5,53.5%,13%,200,13.1%,"2,193"
3,Omen,1.03,15.3,14.9,6.1,59.4%,9.7%,213,9.8%,"1,632"
4,Killjoy,0.94,14.2,15.2,4.6,43.8%,9.7%,203,8.6%,"1,632"
5,Sova,1.00,14.5,14.5,6.8,60%,9.1%,211,8%,"1,530"
6,Raze,1.10,18.0,16.4,5.7,60.9%,7%,258,18.1%,"1,173"
7,Phoenix,0.83,15.4,18.4,4.8,43.8%,4.8%,209,20.7%,816
8,Cypher,0.88,11.4,12.9,3.3,33.3%,4.5%,172,7.6%,765
9,Brimstone,0.99,13.8,13.9,6.8,46.2%,3.9%,206,9.5%,663
10,Viper,1.07,14.8,13.8,5.9,70%,3%,194,9.5%,510
11,Astra,1.01,15.8,15.7,6.0,66.7%,1.8%,210,7.4%,306
12,Skye,1.03,14.8,14.3,5.5,66.7%,1.8%,195,10.1%,306
13,Yoru,0.86,11.8,13.8,2.6,20%,1.5%,212,11.9%,255
14,Breach,1.17,16.8,14.4,5.6,60%,1.5%,215,13.1%,255
