,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.73,10.8,14.9,4.8,43.5%,25%,165,8.5%,"1,173"
1,Killjoy,1.24,17.5,14.1,4.5,45.5%,12%,227,7.3%,561
2,Raze,0.99,14.0,14.1,3.8,50%,8.7%,240,18.8%,408
3,Jett,0.81,12.4,15.3,4.3,50%,8.7%,191,18.2%,408
4,Reyna,1.17,17.1,14.7,5.1,42.9%,7.6%,249,17.5%,357
5,Sova,0.99,14.2,14.3,4.8,66.7%,6.5%,204,11.8%,306
6,Omen,0.82,13.2,16.0,4.7,83.3%,6.5%,184,20.3%,306
7,Cypher,0.82,13.6,16.6,4.6,20%,5.4%,189,13.2%,255
8,Phoenix,1.09,12.0,11.0,4.8,50%,4.3%,236,20.8%,204
9,Viper,0.88,13.3,15.0,8.3,50%,4.3%,198,13.2%,204
10,Yoru,0.72,10.8,15.0,3.0,0%,4.3%,163,9.3%,204
11,Brimstone,0.76,11.3,15.0,5.0,33.3%,3.3%,164,14.7%,153
12,Breach,1.56,12.5,8.0,6.5,100%,2.2%,226,16%,102
13,Astra,0.76,13.0,17.0,7.0,0%,1.1%,184,23.1%,51
