,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches
0,Sage,0.79,11.3,14.3,4.6,49.1%,18.7%,168,10.1%,"2,703"
1,Reyna,0.95,15.0,15.8,5.0,46.7%,15.9%,216,16.1%,"2,295"
2,Jett,1.11,15.2,13.7,3.9,66.7%,9.5%,230,17.3%,"1,377"
3,Killjoy,0.96,13.7,14.2,4.8,46.2%,9.2%,198,5.9%,"1,326"
4,Omen,0.94,13.2,14.0,4.9,59.1%,7.8%,187,13.1%,"1,122"
5,Raze,0.86,13.8,16.0,5.3,28.6%,7.4%,217,11.8%,"1,071"
6,Sova,1.04,15.4,14.8,5.9,44.4%,6.4%,223,10.8%,918
7,Cypher,1.19,15.3,12.9,5.5,66.7%,5.3%,209,10%,765
8,Viper,0.93,11.2,12.1,4.1,42.9%,4.9%,176,12.7%,714
9,Phoenix,1.03,15.9,15.5,5.0,70%,3.5%,232,13.2%,510
10,Yoru,1.10,16.1,14.7,3.2,50%,3.5%,244,16.1%,510
11,Brimstone,0.95,12.7,13.3,7.3,44.4%,3.2%,187,12.3%,459
12,Skye,0.99,15.0,15.1,4.6,57.1%,2.5%,194,7.6%,357
13,Breach,0.58,9.3,16.0,6.0,25%,1.4%,139,21.6%,204
14,Astra,1.11,20.0,18.0,5.0,50%,0.7%,225,2.5%,102
