,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.0,12.3%,71.2%,16.5%,121
1,Phantom,4.7,12.1%,69%,18.9%,116
2,Spectre,4.1,10.2%,72%,17.8%,92
3,Shorty,4.0,16.2%,67.7%,16.2%,63
4,Ares,2.9,7.2%,68.7%,24.1%,93
5,Odin,2.9,8.1%,69.1%,22.9%,122
6,Operator,2.6,3.8%,84.9%,11.3%,132
7,Guardian,2.1,7.8%,78.4%,13.7%,120
8,Sheriff,1.8,10.1%,71%,18.8%,99
9,Ghost,1.8,9.2%,75.2%,15.6%,78
10,Judge,1.5,11.1%,71.9%,17.1%,88
11,Classic,1.3,10.3%,72.7%,17.1%,67
12,Marshal,1.1,21.9%,71.9%,6.3%,127
13,Frenzy,1.0,15.6%,67%,17.4%,80
14,Bulldog,1.0,7.7%,72.5%,19.8%,86
15,Stinger,0.9,16.7%,62.1%,21.2%,96
16,Bucky,0.2,11.1%,66.7%,22.2%,26
