,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.0,15%,73.8%,11.2%,125
1,Phantom,4.7,13.2%,74.4%,12.4%,122
2,Spectre,3.4,10.7%,73.3%,16%,96
3,Odin,3.3,10%,71.9%,18%,122
4,Ares,3.3,7.4%,70.3%,22.3%,104
5,Operator,3.0,9.2%,84.8%,5.9%,148
6,Ghost,2.3,16.3%,72.5%,11.2%,83
7,Guardian,1.9,13.8%,78.9%,7.3%,137
8,Sheriff,1.6,17.6%,74%,8.4%,103
9,Marshal,1.5,25.8%,68.8%,5.4%,130
10,Classic,1.4,13.6%,74.4%,12%,71
11,Bulldog,1.2,10.6%,80.2%,9.2%,107
12,Frenzy,1.0,13%,76.3%,10.7%,74
13,Judge,1.0,12.2%,73.6%,14.2%,88
14,Stinger,0.9,18.2%,65.4%,16.4%,96
15,Bucky,0.8,12.3%,69%,18.7%,99
16,Shorty,0.8,11.1%,67.5%,21.4%,61
