,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.4,23.4%,69.6%,7%,130
1,Phantom,4.6,23.6%,70.2%,6.2%,128
2,Operator,3.1,12.5%,83.3%,4.2%,148
3,Ares,2.3,17.6%,47.1%,35.3%,141
4,Bulldog,2.0,25.3%,69.6%,5.1%,117
5,Ghost,1.8,29.4%,66.4%,4.2%,83
6,Guardian,1.8,34.5%,62.1%,3.4%,120
7,Sheriff,1.6,25.5%,70.3%,4.2%,104
8,Spectre,1.4,17.1%,70.3%,12.7%,87
9,Classic,1.1,22.3%,73.7%,4%,85
10,Shorty,1.0,5.9%,94.1%,0%,79
11,Stinger,1.0,50%,30%,20%,154
12,Judge,1.0,13.8%,79.3%,6.9%,131
13,Frenzy,0.9,6.4%,85.1%,8.5%,65
14,Marshal,0.9,21.6%,73%,5.4%,120
