,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.8,22.1%,72%,5.9%,134
1,Phantom,6.1,19.7%,72.8%,7.5%,121
2,Operator,4.0,10.9%,87.4%,1.7%,152
3,Spectre,2.6,15.7%,75.7%,8.6%,96
4,Odin,2.5,27.1%,66.7%,6.3%,122
5,Ghost,2.3,24.5%,72.7%,2.8%,88
6,Sheriff,2.2,27.1%,66.9%,6.1%,110
7,Bulldog,2.1,21.6%,73%,5.4%,98
8,Guardian,1.9,25.3%,72.7%,2%,138
9,Classic,1.4,19.8%,72%,8.2%,79
10,Frenzy,1.3,21%,63.8%,15.2%,87
11,Ares,1.2,4.9%,75.6%,19.5%,79
12,Marshal,1.1,23.8%,72.6%,3.6%,125
13,Bucky,1.0,15.2%,72.7%,12.1%,97
14,Stinger,1.0,19%,76.2%,4.8%,118
15,Judge,0.8,9.3%,72.9%,17.8%,93
16,Shorty,0.5,6.9%,79.3%,13.8%,75
