,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,18.8,25.4%,68.2%,6.4%,132
1,Phantom,9.2,29.3%,66.3%,4.3%,131
2,Sheriff,3.7,33.1%,60.4%,6.5%,120
3,Operator,3.6,23%,75.4%,1.6%,172
4,Spectre,3.2,19.6%,73.5%,6.9%,93
5,Ghost,2.6,24.5%,72.4%,3.1%,83
6,Guardian,2.3,37.9%,51.7%,10.3%,163
7,Classic,2.0,28.2%,66.3%,5.4%,92
8,Frenzy,1.8,25.8%,67.7%,6.5%,103
9,Marshal,1.6,22.2%,74.1%,3.7%,122
10,Bulldog,1.0,12.2%,73.2%,14.6%,104
11,Judge,1.0,16.7%,69%,14.3%,111
12,Stinger,1.0,23.1%,76.9%,0%,118
13,Shorty,0.5,16.7%,66.7%,16.7%,56
14,Bucky,0.5,8.3%,91.7%,0%,130
15,Ares,0.0,0%,80%,20%,131
