,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.5,20.1%,72.9%,7%,129
1,Phantom,4.0,17.8%,74.6%,7.6%,124
2,Operator,4.0,7.7%,89.6%,2.7%,151
3,Ghost,2.3,22.2%,70.6%,7.2%,82
4,Spectre,2.3,14.9%,75%,10.1%,99
5,Bulldog,1.9,18.3%,76.5%,5.2%,116
6,Guardian,1.9,20.1%,72.5%,7.4%,138
7,Marshal,1.8,24.5%,70.1%,5.4%,134
8,Judge,1.7,14.5%,70.2%,15.3%,96
9,Sheriff,1.6,22.9%,73.8%,3.3%,109
10,Ares,1.5,9.9%,77.2%,12.9%,112
11,Classic,1.1,17.3%,72.8%,9.9%,82
12,Frenzy,1.0,23.4%,68.1%,8.5%,71
13,Stinger,0.8,21.6%,70.6%,7.8%,101
14,Odin,0.6,10%,75%,15%,85
15,Shorty,0.6,14.5%,77.4%,8.1%,83
16,Bucky,0.5,13.9%,77.8%,8.3%,75
