,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.4,18.7%,73%,8.3%,129
1,Phantom,4.3,16%,73.4%,10.7%,123
2,Operator,3.8,12.4%,84.1%,3.5%,153
3,Ghost,2.6,19.5%,73.9%,6.6%,85
4,Spectre,2.6,15.2%,73.1%,11.7%,96
5,Ares,2.4,7.8%,69.1%,23%,94
6,Sheriff,1.8,25.6%,68.2%,6.1%,110
7,Guardian,1.8,20.2%,76.3%,3.5%,133
8,Classic,1.5,18.4%,73.7%,7.8%,76
9,Marshal,1.4,26%,72.4%,1.6%,134
10,Odin,1.4,12.5%,69.4%,18.1%,107
11,Bulldog,1.3,12.7%,74.1%,13.3%,107
12,Judge,0.8,16.8%,71.9%,11.3%,90
13,Frenzy,0.8,19%,74.9%,6.1%,82
14,Stinger,0.8,19.4%,74.2%,6.5%,105
15,Shorty,0.5,19.6%,73.5%,6.9%,85
16,Bucky,0.4,15.7%,73.5%,10.8%,84
