,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.9,13.9%,72.7%,13.4%,122
1,Phantom,4.7,12.5%,72.2%,15.3%,121
2,Ares,3.8,8.8%,68.4%,22.9%,101
3,Spectre,3.6,11.1%,73.7%,15.2%,96
4,Operator,2.8,9.8%,87.1%,3.1%,150
5,Ghost,2.5,14.5%,73.2%,12.3%,82
6,Odin,2.4,9.5%,70.1%,20.4%,111
7,Guardian,1.9,15.9%,75.7%,8.3%,130
8,Classic,1.6,12.3%,72.8%,14.9%,68
9,Marshal,1.6,21.7%,73.4%,4.9%,127
10,Sheriff,1.5,18.9%,73.7%,7.4%,103
11,Judge,1.2,8.7%,69.5%,21.7%,88
12,Bucky,1.2,12.3%,79.4%,8.2%,99
13,Shorty,1.2,27.6%,59.8%,12.6%,74
14,Frenzy,1.0,13.4%,77.3%,9.2%,88
15,Bulldog,1.0,9.2%,78.3%,12.5%,108
16,Stinger,0.8,22.7%,67.2%,10.1%,93
