,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.1,21%,72.1%,6.9%,130
1,Phantom,4.9,20.4%,72.6%,7%,127
2,Operator,3.7,11.2%,84.8%,4.1%,153
3,Ghost,2.6,24%,71.8%,4.2%,85
4,Spectre,2.2,15.7%,75.4%,8.9%,98
5,Judge,1.9,13.4%,81.4%,5.2%,119
6,Marshal,1.8,31.2%,64.6%,4.2%,133
7,Bulldog,1.5,19.9%,73.5%,6.6%,108
8,Guardian,1.5,19.8%,78.4%,1.8%,133
9,Ares,1.5,19.6%,52.9%,27.5%,99
10,Classic,1.4,21.9%,71.9%,6.2%,81
11,Sheriff,1.3,19.9%,76.9%,3.2%,103
12,Odin,1.0,0%,83.3%,16.7%,79
13,Frenzy,0.8,18.1%,71.6%,10.3%,80
14,Stinger,0.8,17.4%,73.9%,8.7%,99
15,Shorty,0.5,14.3%,79.6%,6.1%,102
16,Bucky,0.0,20%,80%,0%,115
