,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.4,20.6%,73.7%,5.7%,130
1,Phantom,4.2,17.4%,75.7%,6.8%,120
2,Operator,3.3,8%,91.4%,0.5%,152
3,Odin,2.8,20.8%,56.6%,22.6%,110
4,Spectre,2.6,16.5%,75.9%,7.6%,101
5,Stinger,2.6,20.3%,70.3%,9.5%,94
6,Ares,2.4,12.1%,67.7%,20.2%,92
7,Sheriff,2.0,27.1%,69.9%,3%,109
8,Ghost,2.0,21.3%,73%,5.7%,86
9,Bulldog,2.0,15%,80%,5%,114
10,Judge,1.6,9.7%,80.5%,9.7%,103
11,Guardian,1.5,23%,71.7%,5.3%,143
12,Marshal,1.4,21.3%,74.5%,4.3%,122
13,Frenzy,1.3,16.4%,74.6%,9%,78
14,Classic,1.2,20.7%,72.5%,6.8%,80
15,Bucky,1.0,31.6%,57.9%,10.5%,107
16,Shorty,0.6,14%,81.4%,4.7%,77
