,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.0,12.9%,70.8%,16.3%,120
1,Phantom,4.0,11.5%,77.1%,11.3%,121
2,Ares,3.5,5.7%,71.5%,22.8%,96
3,Odin,3.3,11.2%,60.3%,28.4%,109
4,Operator,3.1,8%,85.1%,6.9%,150
5,Spectre,2.6,8.6%,73.7%,17.8%,99
6,Ghost,2.0,14%,70.5%,15.5%,86
7,Bulldog,1.8,5.7%,62.9%,31.4%,103
8,Guardian,1.4,17.9%,66.7%,15.4%,142
9,Judge,1.4,13.9%,73.4%,12.7%,89
10,Classic,1.1,14.5%,73.9%,11.5%,72
11,Frenzy,1.1,18.6%,71.2%,10.2%,73
12,Sheriff,1.0,28.3%,67.4%,4.3%,102
13,Marshal,0.9,17%,78.7%,4.3%,126
14,Stinger,0.8,20%,70%,10%,115
15,Bucky,0.5,23.5%,64.7%,11.8%,104
16,Shorty,0.0,25%,12.5%,62.5%,50
