,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.2,19.1%,73.2%,7.7%,130
1,Phantom,4.6,18.2%,73.5%,8.3%,128
2,Operator,3.9,12%,85.7%,2.3%,149
3,Spectre,2.8,13.3%,74.3%,12.5%,95
4,Odin,2.8,14.8%,62.5%,22.7%,112
5,Ares,2.6,8%,68.6%,23.5%,111
6,Ghost,2.4,20.7%,71.8%,7.5%,83
7,Guardian,2.1,26.8%,69.3%,3.9%,144
8,Sheriff,1.6,24%,71%,5%,111
9,Marshal,1.6,19.5%,75.8%,4.7%,126
10,Classic,1.5,17.5%,75.8%,6.7%,79
11,Stinger,1.3,22.2%,74.1%,3.7%,95
12,Bulldog,1.3,19.1%,73.4%,7.4%,106
13,Frenzy,1.3,18.2%,71.2%,10.5%,84
14,Judge,1.2,12.3%,76.9%,10.7%,100
15,Bucky,1.1,15.3%,75.7%,9%,93
16,Shorty,0.8,19.3%,65.2%,15.5%,99
