,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,24.8,24%,70.5%,5.5%,129
1,Phantom,6.3,19.9%,74.5%,5.6%,125
2,Ghost,3.9,30.3%,63.7%,6%,86
3,Sheriff,3.4,24.8%,73.1%,2.1%,109
4,Spectre,3.2,16.7%,73.4%,9.9%,91
5,Operator,3.0,7.9%,88.5%,3.6%,147
6,Odin,3.0,14.3%,61.9%,23.8%,106
7,Bulldog,2.2,16.3%,77.8%,5.9%,107
8,Guardian,2.1,21.7%,74.7%,3.6%,129
9,Classic,1.9,23.5%,71.9%,4.7%,84
10,Marshal,1.5,20.6%,73.5%,5.9%,125
11,Judge,1.5,10.8%,78.3%,10.8%,99
12,Shorty,1.0,19.7%,69.7%,10.6%,91
13,Frenzy,0.7,19.3%,74.7%,6%,75
14,Stinger,0.4,16.7%,80%,3.3%,102
15,Ares,0.3,0%,88.9%,11.1%,57
