,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.3,15.6%,74.6%,9.8%,127
1,Phantom,4.4,13.6%,75%,11.4%,118
2,Operator,3.7,10.6%,86.1%,3.4%,148
3,Spectre,2.7,11.4%,74.6%,14%,95
4,Guardian,2.7,15.2%,79.4%,5.3%,139
5,Ghost,2.5,16.8%,74.6%,8.6%,85
6,Odin,2.2,9.6%,70.5%,19.9%,111
7,Bulldog,1.9,16.9%,73.4%,9.8%,116
8,Sheriff,1.6,19.2%,73.9%,7%,104
9,Ares,1.6,7.7%,69.5%,22.8%,99
10,Classic,1.5,14.4%,76.2%,9.4%,73
11,Stinger,1.4,16.4%,67.8%,15.8%,88
12,Marshal,1.3,22.1%,73.9%,4%,120
13,Frenzy,1.2,13.5%,77.7%,8.8%,83
14,Judge,1.2,10%,72.9%,17.1%,93
15,Bucky,1.0,19%,72.2%,8.9%,87
16,Shorty,0.4,10.3%,71.8%,17.9%,65
