,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.7,20.8%,72.7%,6.5%,128
1,Operator,4.2,19.9%,78.9%,1.2%,153
2,Phantom,4.0,20.7%,72.8%,6.5%,130
3,Spectre,2.2,20.8%,72.6%,6.6%,91
4,Ghost,2.1,21.1%,74.6%,4.3%,83
5,Guardian,1.8,39%,58.5%,2.4%,152
6,Marshal,1.6,25%,71.1%,3.9%,141
7,Judge,1.6,12.1%,73%,14.9%,93
8,Sheriff,1.3,19.2%,75.1%,5.7%,97
9,Stinger,1.3,14.3%,81%,4.8%,115
10,Bulldog,1.2,19.6%,64.3%,16.1%,101
11,Classic,1.2,18.5%,76%,5.5%,77
12,Ares,1.0,5.9%,76.5%,17.6%,66
13,Bucky,1.0,26.7%,73.3%,0%,90
14,Frenzy,0.8,20.8%,73.6%,5.7%,89
15,Shorty,0.7,18.5%,81.5%,0%,96
