,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.1,13.9%,72.6%,13.5%,124
1,Phantom,4.3,13.7%,73.9%,12.4%,119
2,Ares,3.3,8%,67.2%,24.8%,98
3,Odin,2.9,12.2%,66.2%,21.5%,114
4,Operator,2.8,10.2%,86%,3.8%,144
5,Guardian,2.7,13.5%,75.5%,11%,135
6,Spectre,2.6,10.3%,74.7%,15%,91
7,Judge,2.3,10.7%,70.9%,18.4%,92
8,Ghost,2.2,12.3%,76.4%,11.4%,81
9,Marshal,1.6,18.8%,79.3%,1.9%,124
10,Classic,1.3,13.7%,75.2%,11.1%,72
11,Sheriff,1.2,14.6%,76.8%,8.7%,91
12,Bulldog,1.1,10.3%,74.1%,15.5%,96
13,Stinger,1.0,27.7%,60%,12.3%,98
14,Frenzy,0.8,14.8%,72.1%,13.1%,67
15,Shorty,0.8,15.1%,77.4%,7.5%,70
16,Bucky,0.3,5.4%,89.3%,5.4%,56
