,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.0,19%,74%,7%,128
1,Phantom,6.2,17.6%,73.3%,9.1%,121
2,Operator,3.1,10.5%,85.9%,3.6%,148
3,Spectre,2.8,13.8%,76.4%,9.8%,92
4,Odin,2.4,11.6%,69.3%,19.1%,105
5,Ghost,2.3,22.5%,71.8%,5.7%,89
6,Ares,1.7,13.5%,71.9%,14.6%,102
7,Classic,1.6,19.2%,73.8%,7%,79
8,Judge,1.5,12.7%,78.2%,9.1%,94
9,Frenzy,1.5,13.2%,78.4%,8.4%,80
10,Bulldog,1.4,19.9%,72.9%,7.2%,117
11,Sheriff,1.3,22.5%,72.3%,5.3%,104
12,Marshal,1.1,17.9%,80.8%,1.3%,120
13,Guardian,1.1,29.2%,62.3%,8.5%,146
14,Shorty,0.8,17.7%,71%,11.3%,93
15,Stinger,0.7,16.2%,71.4%,12.4%,105
16,Bucky,0.5,16.7%,67.9%,15.4%,84
