,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,16.4,22.4%,71.9%,5.7%,126
1,Phantom,11.4,20.9%,71.8%,7.3%,122
2,Operator,4.3,7.7%,91.4%,0.9%,146
3,Spectre,4.0,18.6%,73%,8.4%,92
4,Ghost,2.9,25.8%,68.1%,6%,84
5,Odin,2.8,14.1%,69.1%,16.9%,113
6,Sheriff,2.2,28.1%,68.2%,3.7%,108
7,Classic,2.0,20.9%,74.8%,4.3%,82
8,Guardian,1.7,34.3%,65.7%,0%,143
9,Marshal,1.6,23.9%,73.9%,2.2%,137
10,Judge,1.6,13.2%,75.7%,11.1%,89
11,Frenzy,1.5,17.8%,77%,5.2%,78
12,Ares,1.3,12.1%,68.2%,19.6%,91
13,Bulldog,1.2,21.6%,72.1%,6.3%,119
14,Bucky,1.0,66.7%,33.3%,0%,90
15,Stinger,0.6,31.3%,64.6%,4.2%,91
16,Shorty,0.5,13.1%,78.7%,8.2%,83
