,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,5.5,11.9%,75.1%,13%,127
1,Phantom,4.2,11.8%,76.4%,11.8%,112
2,Spectre,3.7,9.8%,76%,14.2%,91
3,Operator,3.0,14.3%,85.7%,0%,135
4,Ares,2.7,5.9%,69.4%,24.7%,97
5,Marshal,2.2,22.5%,75%,2.5%,128
6,Odin,2.1,8.8%,73.3%,18%,110
7,Bulldog,2.0,15%,70%,15%,98
8,Guardian,1.9,8.5%,79.7%,11.9%,121
9,Frenzy,1.6,17.4%,73.4%,9.2%,88
10,Ghost,1.6,15.5%,74.3%,10.2%,80
11,Classic,1.3,11.7%,75.6%,12.7%,69
12,Judge,1.3,5.4%,82.9%,11.7%,80
13,Shorty,1.0,35.7%,57.1%,7.1%,92
14,Sheriff,0.7,17.7%,74.2%,8.1%,84
15,Stinger,0.5,5.6%,83.3%,11.1%,91
16,Bucky,0.0,9.5%,81%,9.5%,94
