,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.4,16.9%,74.9%,8.2%,126
1,Phantom,6.7,14.8%,75.4%,9.8%,121
2,Spectre,3.8,13%,76%,11.1%,95
3,Operator,3.5,12.3%,84%,3.7%,149
4,Odin,2.9,8.7%,71.4%,20%,111
5,Ghost,2.6,18.3%,74.8%,6.8%,84
6,Classic,1.9,14.3%,77.8%,7.9%,72
7,Ares,1.8,8.4%,73.8%,17.8%,94
8,Judge,1.7,12.4%,72.4%,15.3%,91
9,Guardian,1.4,17%,74.1%,8.9%,131
10,Sheriff,1.4,21.6%,72.4%,5.9%,105
11,Bulldog,1.3,17.2%,71.6%,11.2%,100
12,Marshal,1.3,23.9%,71.6%,4.5%,125
13,Frenzy,1.2,14.4%,77.5%,8%,76
14,Stinger,1.1,20.1%,70.7%,9.2%,96
15,Bucky,0.7,13.8%,78.7%,7.5%,77
16,Shorty,0.6,11.7%,78.5%,9.8%,78
