,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.2,12.5%,76.2%,11.3%,117
1,Phantom,4.3,12.1%,73.9%,13.9%,114
2,Spectre,4.2,12%,75%,13%,93
3,Operator,2.8,6.9%,89.7%,3.4%,147
4,Ares,2.4,5.3%,69.7%,25%,98
5,Odin,2.1,11.3%,65.9%,22.8%,117
6,Ghost,2.0,12.1%,77.1%,10.8%,83
7,Judge,2.0,9.6%,75.6%,14.8%,95
8,Bulldog,1.9,12.8%,73.3%,14%,105
9,Guardian,1.8,13.3%,75%,11.7%,131
10,Classic,1.3,10.6%,77.9%,11.5%,67
11,Sheriff,1.1,14.4%,80.4%,5.2%,97
12,Frenzy,1.1,14%,73.1%,12.9%,83
13,Stinger,1.0,20.8%,61.1%,18.1%,94
14,Marshal,0.9,8.8%,81.3%,9.9%,110
15,Bucky,0.5,7.1%,73.8%,19%,92
16,Shorty,0.5,9%,85.4%,5.6%,59
