,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,12.6,21.9%,71.9%,6.2%,130
1,Phantom,6.2,21.8%,71.9%,6.3%,124
2,Odin,3.8,8.3%,73.7%,18%,112
3,Operator,3.4,6.8%,90.7%,2.5%,151
4,Spectre,2.7,18%,72.7%,9.3%,89
5,Ghost,2.2,28.9%,67.9%,3.1%,92
6,Sheriff,2.2,29.3%,68.7%,2%,117
7,Guardian,1.8,24.1%,69%,6.9%,180
8,Stinger,1.4,22.6%,73.6%,3.8%,135
9,Frenzy,1.2,18.8%,74.3%,6.9%,90
10,Bulldog,1.2,8.3%,87.5%,4.2%,110
11,Classic,1.1,22.9%,70.8%,6.3%,82
12,Judge,1.1,11.8%,70.1%,18.1%,82
13,Marshal,0.9,13.3%,81.7%,5%,105
14,Ares,0.8,9.7%,74.2%,16.1%,140
15,Shorty,0.5,11.5%,88.5%,0%,77
16,Bucky,0.0,0%,100%,0%,9
