,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.5,15%,75.4%,9.7%,123
1,Phantom,6.2,13.4%,76.1%,10.5%,118
2,Spectre,3.7,11.7%,75.5%,12.8%,95
3,Operator,3.3,7.4%,88.8%,3.9%,145
4,Odin,2.7,10.4%,69.2%,20.4%,117
5,Ghost,2.4,17.2%,74.7%,8.1%,84
6,Ares,2.1,7.5%,72.9%,19.6%,92
7,Classic,1.7,13.9%,76.5%,9.6%,72
8,Judge,1.6,12.9%,72.8%,14.3%,93
9,Bulldog,1.6,13.5%,76.6%,9.9%,103
10,Sheriff,1.5,19.9%,73.5%,6.6%,104
11,Guardian,1.2,13.7%,79%,7.3%,130
12,Frenzy,1.2,13.6%,77.5%,8.9%,76
13,Marshal,1.0,24.7%,71.4%,3.9%,129
14,Bucky,1.0,14.8%,72.5%,12.7%,81
15,Stinger,0.8,16%,76.9%,7.1%,85
16,Shorty,0.7,14.9%,67.6%,17.5%,73
