,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.0,17.2%,75.6%,7.2%,125
1,Phantom,6.4,16.1%,74.6%,9.3%,121
2,Operator,3.7,10.3%,84.6%,5.1%,147
3,Spectre,2.9,13.5%,76.5%,10%,93
4,Odin,2.4,8.6%,74.3%,17.2%,113
5,Ghost,2.3,19.3%,73.9%,6.8%,85
6,Guardian,2.0,20%,75.9%,4.1%,138
7,Classic,1.6,16.5%,75.7%,7.8%,77
8,Sheriff,1.5,22.2%,71.3%,6.6%,108
9,Marshal,1.4,20.9%,73.2%,5.9%,125
10,Judge,1.4,12.1%,73.5%,14.4%,89
11,Frenzy,1.3,15.3%,77.4%,7.3%,81
12,Ares,1.3,8.1%,72.3%,19.6%,93
13,Bucky,1.3,18.5%,73.6%,7.9%,83
14,Bulldog,1.1,15%,78.7%,6.4%,105
15,Stinger,0.9,18.5%,75.3%,6.2%,91
16,Shorty,0.6,19.5%,73.8%,6.6%,88
