,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,6.7,12.6%,74.8%,12.6%,120
1,Phantom,4.1,12.1%,74.5%,13.4%,118
2,Spectre,3.7,10.4%,76.2%,13.4%,94
3,Ares,3.2,6.3%,74%,19.7%,95
4,Odin,2.6,10%,69.4%,20.7%,109
5,Operator,2.3,9.2%,85.5%,5.3%,142
6,Ghost,2.2,13.2%,76.3%,10.5%,82
7,Guardian,2.0,16.7%,73.9%,9.4%,131
8,Judge,1.9,10.9%,74%,15.1%,93
9,Classic,1.4,12.9%,75.1%,12.1%,69
10,Sheriff,1.3,14.2%,76%,9.8%,95
11,Frenzy,1.0,14%,77.2%,8.8%,69
12,Bucky,1.0,16%,65.5%,18.4%,75
13,Marshal,1.0,16.3%,79.7%,3.9%,126
14,Bulldog,0.6,12.2%,66.7%,21.1%,104
15,Shorty,0.5,25%,63.2%,11.8%,68
16,Stinger,0.4,12%,76%,12%,81
