,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,9.9,20.8%,74%,5.2%,118
1,Phantom,3.8,19.8%,69.8%,10.3%,119
2,Operator,3.3,13.3%,86.7%,0%,154
3,Spectre,2.6,9.2%,78.2%,12.6%,80
4,Frenzy,2.5,46.2%,38.5%,15.4%,68
5,Guardian,2.5,30.8%,69.2%,0%,195
6,Ghost,2.3,37.2%,53.5%,9.3%,103
7,Odin,2.0,15.4%,69.2%,15.4%,139
8,Sheriff,1.9,25%,66.7%,8.3%,97
9,Classic,1.9,28%,69.5%,2.4%,92
10,Judge,1.7,18.8%,81.3%,0%,89
11,Marshal,1.0,100%,0%,0%,202
12,Bulldog,1.0,33.3%,66.7%,0%,110
13,Ares,1.0,0%,100%,0%,85
14,Stinger,0.7,26.3%,57.9%,15.8%,98
15,Shorty,0.3,26.7%,73.3%,0%,76
