,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.4,20.5%,73.8%,5.8%,127
1,Phantom,6.7,17.6%,74.6%,7.8%,122
2,Spectre,2.8,14.2%,77.4%,8.4%,94
3,Operator,2.8,7.3%,89.7%,3%,151
4,Ghost,2.3,22.5%,70.4%,7.1%,88
5,Odin,2.0,15.5%,68.6%,15.9%,109
6,Judge,1.6,14.5%,76.4%,9.1%,85
7,Classic,1.5,18.7%,73.2%,8.1%,79
8,Bulldog,1.4,16.3%,76.6%,7.1%,109
9,Sheriff,1.4,25%,71.1%,3.9%,100
10,Frenzy,1.2,15.8%,77.2%,7.1%,80
11,Ares,1.2,8.8%,71.2%,20%,80
12,Shorty,1.1,15.2%,72.1%,12.7%,89
13,Bucky,1.0,25.4%,60.6%,14.1%,92
14,Guardian,1.0,25%,65.9%,9.1%,128
15,Marshal,0.9,13.4%,83.5%,3.1%,114
16,Stinger,0.8,21.6%,71.2%,7.2%,94
