,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.3,14.6%,74.6%,10.8%,124
1,Phantom,5.7,13.3%,75.3%,11.4%,119
2,Spectre,3.5,11.6%,75.7%,12.7%,95
3,Odin,3.1,8.5%,71.8%,19.7%,112
4,Operator,2.9,12.7%,83.5%,3.7%,150
5,Ares,2.7,7.6%,70.6%,21.8%,99
6,Ghost,2.4,16.3%,75.1%,8.6%,85
7,Classic,1.6,13.1%,75.8%,11.1%,71
8,Judge,1.6,10.1%,72.6%,17.3%,91
9,Bulldog,1.5,16.5%,72.8%,10.7%,109
10,Sheriff,1.4,18.3%,74.8%,6.9%,104
11,Frenzy,1.3,14%,76.4%,9.5%,79
12,Marshal,1.3,23.6%,70.5%,5.9%,123
13,Shorty,1.0,10.9%,79.1%,10.1%,70
14,Guardian,1.0,11.6%,79.7%,8.7%,125
15,Stinger,0.9,15.8%,69.6%,14.6%,89
16,Bucky,0.7,13.4%,71.8%,14.8%,68
