,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.3,21.9%,71.5%,6.6%,129
1,Phantom,6.9,19.7%,73.6%,6.7%,123
2,Operator,3.1,7.2%,90.8%,2%,138
3,Odin,3.1,12%,64%,24%,112
4,Spectre,3.0,16.3%,76%,7.6%,92
5,Guardian,2.3,25.8%,71%,3.2%,155
6,Ghost,2.2,23.3%,70.9%,5.8%,83
7,Sheriff,1.7,29.2%,66.1%,4.7%,108
8,Judge,1.5,10.7%,74.9%,14.4%,93
9,Classic,1.3,20.1%,74.1%,5.7%,83
10,Marshal,1.3,25%,71.4%,3.6%,117
11,Frenzy,1.0,17.8%,76%,6.2%,77
12,Bucky,1.0,14.3%,83.3%,2.4%,102
13,Bulldog,0.9,22.6%,74.2%,3.2%,92
14,Stinger,0.6,16.3%,73.5%,10.2%,80
15,Ares,0.3,10.7%,78.6%,10.7%,102
16,Shorty,0.3,12.4%,77%,10.6%,91
