,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,5.7,11.3%,75.8%,12.9%,120
1,Phantom,4.9,11%,72%,17%,109
2,Guardian,4.7,14.6%,69.7%,15.7%,130
3,Spectre,4.4,10.8%,74.1%,15.2%,92
4,Ares,4.0,6%,67.6%,26.4%,89
5,Odin,2.7,3.6%,74.3%,22.1%,102
6,Judge,2.5,5.8%,72.2%,22%,94
7,Ghost,1.8,12%,73.2%,14.8%,78
8,Sheriff,1.8,11.5%,75.2%,13.3%,88
9,Classic,1.5,10.8%,73.9%,15.3%,66
10,Bucky,1.2,7.2%,73.5%,19.3%,75
11,Operator,1.1,5%,87.5%,7.5%,128
12,Frenzy,1.0,9.8%,72%,18.3%,70
13,Marshal,0.8,21.9%,75%,3.1%,123
14,Bulldog,0.6,0%,83.3%,16.7%,101
15,Stinger,0.5,3.1%,75%,21.9%,76
16,Shorty,0.2,3.3%,88.3%,8.3%,66
