,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,11.0,19.6%,73.3%,7.1%,123
1,Phantom,6.1,17.3%,74.8%,7.9%,121
2,Operator,3.5,10.2%,83.7%,6.1%,143
3,Spectre,3.2,15.6%,74.6%,9.8%,95
4,Odin,3.0,12.4%,67.7%,19.8%,114
5,Ghost,2.3,23%,71.9%,5.1%,85
6,Judge,1.8,13.4%,70.8%,15.8%,93
7,Classic,1.6,20.6%,73.4%,6.1%,76
8,Sheriff,1.5,23.5%,72.2%,4.3%,107
9,Frenzy,1.4,17.7%,77.5%,4.8%,83
10,Guardian,1.3,28.8%,65.8%,5.5%,137
11,Marshal,1.2,15.6%,80.7%,3.7%,117
12,Bulldog,1.2,19.2%,76%,4.8%,107
13,Ares,0.9,7%,70.3%,22.7%,83
14,Shorty,0.7,18.4%,72.1%,9.5%,80
15,Stinger,0.6,20%,70.6%,9.4%,88
16,Bucky,0.5,15.3%,71.8%,12.9%,82
