,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,13.1,25.5%,69.9%,4.6%,129
1,Phantom,7.5,21.1%,74.1%,4.8%,124
2,Spectre,3.0,14.5%,75.6%,9.9%,92
3,Ghost,2.8,26.8%,66.1%,7.1%,85
4,Odin,2.5,14.8%,69.8%,15.4%,110
5,Operator,2.1,6.9%,89.7%,3.4%,144
6,Judge,1.9,4.7%,85.9%,9.4%,94
7,Bulldog,1.7,32.8%,54.7%,12.5%,115
8,Guardian,1.6,23.8%,66.7%,9.5%,148
9,Classic,1.5,22.1%,72.2%,5.7%,80
10,Marshal,1.4,0%,94.4%,5.6%,103
11,Sheriff,1.3,21.1%,73.3%,5.6%,98
12,Frenzy,1.2,28.2%,65.3%,6.5%,78
13,Stinger,0.9,27.6%,69%,3.4%,100
14,Ares,0.8,11.1%,75.6%,13.3%,75
15,Bucky,0.5,16.7%,83.3%,0%,85
16,Shorty,0.5,3.1%,81.3%,15.6%,103
