,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,10.2,22%,72.5%,5.5%,124
1,Phantom,5.8,18.6%,75.8%,5.7%,120
2,Operator,2.7,14.2%,83%,2.8%,156
3,Spectre,2.6,15.1%,76%,8.9%,90
4,Odin,2.4,20.7%,78.2%,1.1%,112
5,Ghost,1.8,19.1%,76.4%,4.5%,81
6,Sheriff,1.8,22.6%,72.5%,4.9%,107
7,Judge,1.5,14.8%,77.5%,7.6%,93
8,Bucky,1.5,32.1%,67.9%,0%,141
9,Frenzy,1.2,24.1%,73.1%,2.8%,89
10,Classic,1.1,19%,74.4%,6.6%,74
11,Guardian,1.0,15%,82.5%,2.5%,102
12,Stinger,0.9,24%,76%,0%,82
13,Marshal,0.8,16.1%,82.3%,1.6%,108
14,Bulldog,0.7,25%,70%,5%,111
15,Ares,0.7,3.4%,72.4%,24.1%,90
16,Shorty,0.3,40%,60%,0%,101
