,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,8.7,19.2%,72.9%,7.9%,124
1,Phantom,7.0,15.9%,76.4%,7.7%,122
2,Spectre,3.0,15.1%,75.5%,9.4%,97
3,Operator,2.6,10.9%,85.2%,3.8%,145
4,Ghost,2.0,21%,71.5%,7.5%,85
5,Ares,2.0,11%,70.6%,18.4%,98
6,Odin,1.7,12.8%,70.5%,16.7%,121
7,Classic,1.5,18.3%,73.4%,8.4%,75
8,Frenzy,1.3,22.7%,71.1%,6.2%,90
9,Sheriff,1.3,19.6%,74%,6.4%,103
10,Guardian,1.3,17.5%,82.5%,0%,135
11,Judge,1.3,12.1%,72%,15.9%,89
12,Marshal,1.2,24.7%,75.3%,0%,119
13,Bulldog,1.1,11.7%,74.1%,14.1%,97
14,Stinger,0.8,17.6%,79.1%,3.3%,101
15,Bucky,0.5,15.5%,71.8%,12.7%,86
16,Shorty,0.5,20.8%,71.7%,7.5%,82
