,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Vandal,7.0,13.5%,73.2%,13.3%,123
1,Phantom,5.0,12.1%,74.2%,13.7%,121
2,Spectre,3.4,10.4%,75.6%,14%,95
3,Ares,3.1,7.2%,68%,24.8%,96
4,Odin,2.5,7.7%,71.5%,20.8%,115
5,Judge,2.1,10.1%,72.9%,16.9%,95
6,Operator,2.0,11.5%,83.4%,5.1%,140
7,Ghost,1.9,13.7%,74.2%,12%,82
8,Guardian,1.9,18.8%,70%,11.3%,132
9,Classic,1.5,10.9%,76.7%,12.4%,70
10,Bulldog,1.5,16.3%,75.5%,8.2%,105
11,Frenzy,1.3,14.7%,76.1%,9.2%,79
12,Sheriff,1.3,19.8%,72.4%,7.8%,101
13,Bucky,1.3,14.4%,71.2%,14.4%,85
14,Marshal,1.0,16.5%,68.7%,14.8%,117
15,Shorty,0.6,10.1%,71.4%,18.5%,54
16,Stinger,0.4,10.4%,77.6%,11.9%,75
